Sorting time: 33.34469127655029
         154036912 function calls (154029087 primitive calls) in 51.176 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2191    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55fe357943c0}
      341    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     4019    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
    352/1    0.002    0.000    0.603    0.603 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      682    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
 1366/275    0.002    0.000    0.443    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
  404/176    0.002    0.000    0.028    0.000 sre_parse.py:417(_parse_sub)
     2325    0.002    0.000    0.005    0.000 enum.py:284(__call__)
      321    0.002    0.000    0.012    0.000 textwrap.py:414(dedent)
      408    0.002    0.000    0.032    0.000 artist.py:1241(get_valid_values)
        1    0.001    0.001    0.002    0.002 six.py:21(<module>)
       64    0.001    0.000    0.010    0.000 colors.py:729(from_list)
       60    0.001    0.000    0.003    0.000 function_base.py:37(linspace)
     1045    0.001    0.000    0.008    0.000 colors.py:149(to_rgba)
     3381    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      330    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     3788    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      522    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      325    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     5998    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       12    0.001    0.000    0.003    0.000 enum.py:135(__new__)
     1387    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      176    0.001    0.000    0.049    0.000 sre_compile.py:759(compile)
     1614    0.001    0.000    0.027    0.000 artist.py:1319(is_alias)
      410    0.001    0.000    0.004    0.000 copy.py:66(copy)
       12    0.001    0.000    0.022    0.002 artist.py:1213(get_aliases)
      618    0.001    0.000    0.005    0.000 _inspect.py:98(getargspec)
     1777    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    276/1    0.001    0.000    0.603    0.603 <frozen importlib._bootstrap_external>:722(exec_module)
       31    0.001    0.000    0.001    0.000 {built-in method io.open}
     2783    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      176    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
        1    0.001    0.001    0.045    0.045 backend_qt5.py:1(<module>)
      276    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     3838    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      276    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       16    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
      233    0.001    0.000    0.001    0.000 pyparsing.py:1386(__init__)
      176    0.001    0.000    0.030    0.000 sre_parse.py:919(parse)
      325    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
  330/327    0.001    0.000    0.079    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1633(_parseNoCache)
     2548    0.001    0.000    0.001    0.000 inspect.py:2799(<genexpr>)
     2512    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
       12    0.001    0.000    0.346    0.029 __init__.py:1(<module>)
       12    0.001    0.000    0.001    0.000 {built-in method gc.collect}
      273    0.001    0.000    0.004    0.000 function_base.py:441(add_newdoc)
      114    0.001    0.000    0.004    0.000 deprecation.py:183(deprecate)
     1954    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
     1519    0.001    0.000    0.004    0.000 re.py:170(match)
       72    0.001    0.000    0.010    0.000 __init__.py:1525(_preprocess_data)
  495/315    0.001    0.000    0.004    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1536    0.001    0.000    0.003    0.000 colors.py:115(_is_nth_color)
       11    0.001    0.000    0.067    0.006 artist.py:1349(pprint_setters)
       12    0.001    0.000    0.002    0.000 artist.py:1224(<listcomp>)
      276    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     1324    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
   362/31    0.001    0.000    0.443    0.014 {built-in method builtins.__import__}
     2317    0.001    0.000    0.001    0.000 enum.py:526(__new__)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
     1320    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      608    0.001    0.000    0.001    0.000 functools.py:67(wraps)
      492    0.001    0.000    0.006    0.000 rcsetup.py:374(validate_color)
      129    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
     2050    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1260    0.001    0.000    0.001    0.000 colors.py:249(<genexpr>)
      325    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      449    0.001    0.000    0.001    0.000 artist.py:1301(_replace_path)
      410    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
      552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      668    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1563    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      696    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      408    0.001    0.000    0.001    0.000 artist.py:1326(aliased_name)
      361    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      176    0.001    0.000    0.001    0.000 enum.py:836(__and__)
     4272    0.001    0.000    0.001    0.000 inspect.py:2517(name)
      601    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      358    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      943    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      324    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      449    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       31    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      252    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
     1259    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      828    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       86    0.000    0.000    0.000    0.000 docstring.py:38(__call__)
        1    0.000    0.000    0.018    0.018 numeric.py:1(<module>)
      147    0.000    0.000    0.001    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.002    0.002 getlimits.py:96(_register_known_types)
      361    0.000    0.000    0.005    0.000 re.py:185(sub)
      205    0.000    0.000    0.001    0.000 font_manager.py:883(_json_decode)
  204/169    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
      410    0.000    0.000    0.004    0.000 pyparsing.py:1409(copy)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1038    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
     2081    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      177    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      227    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     2081    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.003    0.003 pyplot.py:2031(_setup_pyplot_info_docstrings)
      276    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      341    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      458    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
    468/1    0.000    0.000    0.603    0.603 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1038    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
      187    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       36    0.000    0.000    0.005    0.000 __init__.py:1496(_add_data_doc)
      176    0.000    0.000    0.017    0.000 sre_compile.py:598(_code)
       15    0.000    0.000    0.000    0.000 arrayprint.py:465(wrapper)
      418    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4410(__init__)
      347    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      618    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      230    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
        1    0.000    0.000    0.326    0.326 pyplot.py:19(<module>)
     2141    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      358    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       99    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       31    0.000    0.000    0.010    0.000 _collections_abc.py:824(update)
      446    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       60    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      149    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
     1380    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      410    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
      501    0.000    0.000    0.020    0.000 re.py:180(search)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3839(__init__)
        1    0.000    0.000    0.040    0.040 qt_compat.py:65(_setup_pyqt5)
        1    0.000    0.000    0.015    0.015 _axes.py:97(Axes)
      829    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      176    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      491    0.000    0.000    0.005    0.000 colors.py:120(is_color_like)
       82    0.000    0.000    0.001    0.000 inspect.py:535(_finddoc)
       19    0.000    0.000    0.007    0.000 rcsetup.py:866(validate_cycler)
     1381    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
     1308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       24    0.000    0.000    0.002    0.000 traceback.py:318(extract)
      330    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     2133    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      588    0.000    0.000    0.001    0.000 <string>:1(__new__)
      323    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      189    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
      254    0.000    0.000    0.004    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      276    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
     2665    0.000    0.000    0.000    0.000 inspect.py:2529(kind)
      552    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      732    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      618    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        1    0.000    0.000    0.024    0.024 pyparsing.py:96(<module>)
     2469    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
     1897    0.000    0.000    0.000    0.000 inspect.py:2521(default)
      312    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
       54    0.000    0.000    0.001    0.000 __init__.py:890(_open_file_or_url)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:546(__init__)
       67    0.000    0.000    0.001    0.000 pyparsing.py:3980(__init__)
      147    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      703    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       52    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
    49/47    0.000    0.000    0.069    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       12    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
     12/2    0.000    0.000    0.079    0.040 pyplot.py:182(switch_backend)
      341    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.008    0.004 function_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 mathtext.py:2838(<listcomp>)
